stname,fips,trump,clinton,totalvotes,white,poverty,population
Alabama,1001,18172,5936,24973,77.0715529787894,13.549573162962558,55278
Alabama,1003,72883,18458,95215,85.80530055623122,11.661857152573333,207509
Alabama,1005,5454,4871,10469,49.43089430894309,29.881565623211376,25774
Alabama,1007,6738,1874,8819,74.69025560888493,20.120753976045552,22633
Alabama,1009,22859,2156,25588,90.40676582622892,14.054763362785408,57562
Alabama,1011,1140,3530,4710,24.56605593056895,32.550412465627865,10441
Alabama,1013,4901,3726,8732,55.08865363382477,24.840926444387883,19965
Alabama,1015,32865,13242,47864,75.39891246211445,17.05049745902226,114980
Alabama,1017,7843,5784,13900,58.28854898718478,19.94127868656001,33717
Alabama,1019,8953,1547,10733,93.51424826447887,16.830123281736185,25766
Alabama,1021,15081,2911,18369,83.15413262854396,18.307688769290923,43830
Alabama,1023,4106,3109,7292,57.36099106885624,22.658257416491473,13050
Alabama,1025,7140,5749,13031,54.7344597084057,28.951408772148223,24350
Alabama,1027,5245,1237,6624,82.51273344651952,18.884347562821677,13410
Alabama,1029,5764,684,6593,94.06772246040774,17.19047619047619,14873
Alabama,1031,15875,4221,20767,73.71643779463005,14.394314334923683,51217
Alabama,1033,16746,7312,24915,80.89514544944346,16.747151940036918,54327
Alabama,1035,3420,3080,6585,53.07965499746322,28.126014939915557,12515
Alabama,1037,3381,1782,5252,67.22296395193591,17.47695293546822,10809
Alabama,1039,13267,2387,15940,85.41044904119927,19.6077367550118,37386
Alabama,1041,4513,1664,6267,72.78587443946188,20.54006841837106,13907
Alabama,1043,32989,3798,37873,94.28732854138548,14.917500676223966,82322
Alabama,1045,13808,4413,18749,72.7498743685366,20.614963276484502,49228
Alabama,1047,5789,12836,18792,30.462831243590166,35.449614760746144,40081
Alabama,1049,21405,3622,25826,85.9683426443203,20.510403724490526,71216
Alabama,1051,27634,8443,37260,75.52990789035623,13.512699265158561,81240
Alabama,1053,9935,4605,14845,62.096552671336354,23.338377371668027,37476
Alabama,1055,32353,10442,44164,80.77890385716776,17.54452330940838,102726
Alabama,1057,6712,1362,8249,86.219867956394907,20.303290766208253,16538
Alabama,1059,9466,2197,12040,81.5443431500231,20.056280378613454,31577
Alabama,1061,9994,1525,11758,86.16129813514168,20.87924614332396,26516
Alabama,1063,838,4013,4880,19.48741279951471,33.99044205495819,8488
Alabama,1065,3173,4775,8040,41.367159971811134,23.739980980844994,14847
Alabama,1067,5632,2292,8072,70.07099541487946,18.66580004727015,17092
Alabama,1069,30728,10664,42639,70.5474045581547,19.378235311321028,104173
Alabama,1071,16672,3673,20984,91.98106300941969,17.477781658710754,52049
Alabama,1073,134768,156873,304191,53.177754634779205,15.279060132116548,659747
Alabama,1075,5823,1036,6966,87.47713135748262,18.586138903089168,13949
Alabama,1077,27899,9952,39525,86.9526338608281,15.226643023384684,92319
Alabama,1079,10833,3627,14829,80.42173310758812,16.79421768707483,33232
Alabama,1081,34617,21230,59191,70.2595353828167,18.2858516804866,158983
Alabama,1083,29067,9468,40294,79.51087868449018,12.81705823404966,92920
Alabama,1085,1751,4883,6684,26.13249211356467,31.71445289643066,10241
Alabama,1087,1431,7566,9140,16.570192735831053,30.046376811594204,19072
Alabama,1089,89520,62822,163389,67.96884854207285,13.500934836719008,356312
Alabama,1091,5233,5615,10994,46.91276058956314,25.784672473328868,19505
Alabama,1093,11274,1432,12984,93.33079106817507,18.518136496475847,29922
Alabama,1095,29233,4917,35316,86.53932332511764,21.012498933538094,95043
Alabama,1097,95116,72186,172737,60.264639052431654,19.46894839614958,414852
Alabama,1099,5795,4332,10271,56.83397220891231,25.72758474775495,21572
Alabama,1101,34003,58916,95878,38.11690564292322,18.75903204131037,226716
Alabama,1103,37486,11254,50644,80.01420299355402,15.79803305629499,118819
Alabama,1105,1407,3824,5278,32.994108194965186,35.027990403290296,9570
Alabama,1107,5456,3972,9542,55.52952780175071,25.7889599826483,20315
Alabama,1109,7693,5056,13168,58.989183140619176,25.132223942208466,33215
Alabama,1111,7705,2291,10187,77.85600726777197,21.807120324470482,22498
Alabama,1113,9210,9579,19256,50.01717701486385,19.321285070706722,58177
Alabama,1115,31651,5589,38400,87.61139496197718,12.0493988104245,87482
Alabama,1117,73020,22977,101254,80.920232395771,7.901175110768638,211073
Alabama,1119,1581,4746,6411,26.8323220649138,32.37569970365492,12932
Alabama,1121,20614,12121,33407,65.17207410467444,17.959014482240473,80386
Alabama,1123,13594,5519,19486,71.52001498782239,20.220881531711207,40574
Alabama,1125,47723,31762,82700,65.07807946003989,17.612227754215585,206282
Alabama,1127,24266,4497,29472,91.23258178338615,20.464702021938187,64561
Alabama,1129,6042,2374,8533,66.60188136515586,18.204849800941005,16646
Alabama,1131,1737,4339,6118,29.839298758217677,31.91234692938035,10875
Alabama,1133,9228,872,10313,95.74636723910172,17.282321899736147,23887
Arizona,4001,8240,17083,27661,21.088144359966556,33.23763955342903,71373
Arizona,4003,28092,17450,50015,60.60578181223421,21.11627906976744,125355
Arizona,4005,21108,32404,59784,59.76209228429429,17.752451752129204,140079
Arizona,4007,14182,7003,36697,68.34759648254237,20.341372347315883,53297
Arizona,4009,8025,3301,20306,52.8415120576719,22.868623340321452,37767
Arizona,4011,1892,1092,5192,50.01445922498554,12.031973075305007,9623
Arizona,4012,4003,1575,5951,65.57271179475137,24.843976234460033,20523
Arizona,4013,747361,702907,1567834,61.59917528329289,14.966720689214993,4233383
Arizona,4015,58282,17455,79943,81.31651814036773,18.33158342082896,205385
Arizona,4017,20577,16459,40294,45.93987823439878,28.22382845887993,108322
Arizona,4019,167428,224661,421640,57.918762001410926,18.20004900048093,1012519
Arizona,4021,72819,47892,129546,61.847682119205295,15.420918205268308,415115
Arizona,4023,3897,11690,16433,18.632033075678592,20.911733210953038,46075
Arizona,4025,71330,35590,114450,84.81337584737815,13.27742774096875,224363
Arizona,4027,25165,24605,53010,37.118890986653426,19.2801401821553,205463
Arkansas,5001,3826,1939,6212,72.895467160037,18.066640620639614,18215
Arkansas,5003,5338,2408,8083,70.67081692288146,17.940494399763164,20498
Arkansas,5005,14682,4169,19766,96.4765645766266,12.706568189116417,41145
Arkansas,5007,60871,28005,96824,78.16241843177835,9.052768352295185,258704
Arkansas,5009,12235,2926,16111,95.94979835905994,15.405096995055153,37191
Arkansas,5011,2164,1317,3653,58.924731182795696,23.49247391264198,10979
Arkansas,5013,1556,639,2269,74.76325757575758,17.076612903225808,5162
Arkansas,5015,6786,3342,10758,85.14746053058012,17.15248278892632,27728
Arkansas,5017,1716,2350,4176,42.41813004271476,30.147492625368734,10912
Arkansas,5019,4404,3620,8526,71.77335307991882,22.275025278058642,22550
Arkansas,5021,3781,1199,5200,97.08177807940278,19.05117415501561,15057
Arkansas,5023,9458,2101,12085,96.35496089330513,16.286369672823856,25159
Arkansas,5025,2462,723,3354,86.6437284954645,15.84097859327217,8260
Arkansas,5027,5456,3140,8887,61.92431180588452,24.152619177088997,23983
Arkansas,5029,4849,2656,7927,83.9731643682445,18.913549137429733,20895
Arkansas,5031,22892,10538,35573,81.34998049161139,16.2424789705637,105781
Arkansas,5033,16686,4488,22450,88.13733025877531,16.775829283752376,62259
Arkansas,5035,6964,8410,15952,46.86018791193381,25.52388848585346,49320
Arkansas,5037,4584,1999,6874,74.80120435420365,19.447434517402222,17037
Arkansas,5039,1509,1165,2771,55.689240288759024,20.768903390551852,7430
Arkansas,5041,1919,2228,4257,49.76249717258539,26.52125944156836,11920
Arkansas,5043,3968,2365,6595,68.86675824175825,19.210481538199762,18628
Arkansas,5045,29346,14629,47527,83.39080336681587,15.982504510024167,122083
Arkansas,5047,5039,1376,6770,94.25541316836058,17.909500173150178,17671
Arkansas,5049,3471,1067,4772,97.20969264659604,23.213087248322147,12039
Arkansas,5051,26087,12311,40805,86.22656469805867,17.801391762271958,98231
Arkansas,5053,5725,1373,7445,94.42968918239897,11.533728604989372,18094
Arkansas,5055,10720,3071,14600,95.4441507528734,15.287683718810527,44715
Arkansas,5057,4401,2377,7049,60.45201200465486,20.70191641653198,22026
Arkansas,5059,8172,3149,11944,85.13584905660377,14.662576687116562,33446
Arkansas,5061,3157,1351,4674,69.06532663316582,18.667781917724888,13438
Arkansas,5063,9936,2881,13614,91.79456279020309,15.900383141762454,37094
Arkansas,5065,4042,1113,5448,94.33586681143684,20.087054650975332,13490
Arkansas,5067,3267,1583,5156,79.35945633314054,24.057679409792083,17309
Arkansas,5069,9250,15772,25894,42.55276160387928,23.335703905259578,70342
Arkansas,5071,6091,2427,9112,84.00040530955518,18.44191522762951,26225
Arkansas,5073,1758,1032,2860,61.74316842293267,27.404204562397496,6928
Arkansas,5075,4064,1263,5685,96.77269919703521,20.022476119123432,16639
